process_no,get_data_from_db,process_data,time_to_write_on_csv
1,0:00:09.057220,0:00:01.367267,0:00:00.005113
2,0:00:09.573115,0:00:01.281098,0:00:00.003837
4,0:00:10.003723,0:00:01.460365,0:00:00.005272
3,0:00:12.272051,0:00:01.569155,0:00:00.006282
8,0:00:08.656639,0:00:01.424933,0:00:00.008659
9,0:00:08.880183,0:00:01.499595,0:00:00.003676
6,0:00:20.235572,0:00:01.574174,0:00:00.004187
10,0:00:09.057657,0:00:01.486364,0:00:00.004024
0,0:00:20.915620,0:00:01.400177,0:00:00.003114
5,0:00:22.250414,0:00:01.524560,0:00:00.003880
7,0:00:22.493033,0:00:01.627416,0:00:00.004235
11,0:00:11.349621,0:00:01.571881,0:00:00.003628
12,0:00:08.968778,0:00:01.429886,0:00:00.003398
13,0:00:09.864387,0:00:01.546979,0:00:00.008440
14,0:00:10.383746,0:00:01.636751,0:00:00.004229
16,0:00:13.647042,0:00:01.794014,0:00:00.004142
19,0:00:09.947886,0:00:01.606931,0:00:00.004167
20,0:00:08.938127,0:00:01.717395,0:00:00.002579
21,0:00:09.676750,0:00:01.335368,0:00:00.003099
22,0:00:09.600132,0:00:01.318555,0:00:00.003381
15,0:00:23.247269,0:00:01.779621,0:00:00.005124
18,0:00:21.195885,0:00:01.746450,0:00:00.003143
17,0:00:23.972723,0:00:01.548297,0:00:00.003601
23,0:00:10.309256,0:00:01.416708,0:00:00.006502
25,0:00:09.232592,0:00:01.038839,0:00:00.002028
24,0:00:12.857579,0:00:00.983520,0:00:00.002014
27,0:00:07.790078,0:00:00.176248,0:00:00.001865
26,0:00:08.910996,0:00:00.784243,0:00:00.002129
28,0:00:07.086452,0:00:00.053136,0:00:00.001000
