process_no,get_data_from_db,process_data,time_to_write_on_csv
2,0:00:08.648668,0:00:01.136630,0:00:00.005069
4,0:00:08.712105,0:00:01.271280,0:00:00.003533
3,0:00:09.123153,0:00:01.205643,0:00:00.004169
6,0:00:11.266273,0:00:01.742158,0:00:00.004572
9,0:00:08.237551,0:00:01.345909,0:00:00.006467
8,0:00:08.714998,0:00:01.351352,0:00:00
10,0:00:08.932553,0:00:01.374395,0:00:00.004922
7,0:00:19.550619,0:00:01.545330,0:00:00.003631
0,0:00:20.266692,0:00:01.358545,0:00:00.015604
1,0:00:20.273910,0:00:01.435004,0:00:00.010542
5,0:00:20.844662,0:00:01.722976,0:00:00.003137
11,0:00:11.664780,0:00:01.506472,0:00:00.003636
12,0:00:08.388858,0:00:01.381802,0:00:00.005096
13,0:00:09.439979,0:00:01.422782,0:00:00.003665
14,0:00:08.881248,0:00:01.473228,0:00:00.004421
16,0:00:12.486469,0:00:01.515900,0:00:00.005591
19,0:00:08.777898,0:00:01.397814,0:00:00.004112
20,0:00:08.310523,0:00:01.411151,0:00:00.003666
21,0:00:08.213875,0:00:01.272590,0:00:00.004759
17,0:00:19.502761,0:00:01.968689,0:00:00.010231
15,0:00:21.391547,0:00:01.472868,0:00:00.003692
18,0:00:21.187042,0:00:01.484620,0:00:00.003594
23,0:00:08.371749,0:00:01.485925,0:00:00.003116
24,0:00:07.891704,0:00:01.525183,0:00:00.003555
28,0:00:03.741895,0:00:00.039788,0:00:00.001042
25,0:00:08.933588,0:00:00.985601,0:00:00.002095
27,0:00:07.060760,0:00:00.197913,0:00:00
22,0:00:19.383847,0:00:00.733641,0:00:00
26,0:00:10.322705,0:00:00.706855,0:00:00
