process_no,get_data_from_db,process_data,time_to_write_on_csv
7,0:00:08.835047,0:00:01.229608,0:00:00.002616
2,0:00:09.202749,0:00:01.095387,0:00:00.002698
1,0:00:09.334549,0:00:01.111047,0:00:00.002610
0,0:00:10.895090,0:00:01.163918,0:00:00.003539
10,0:00:08.316222,0:00:01.182872,0:00:00.002017
9,0:00:08.699317,0:00:01.246096,0:00:00.001029
8,0:00:09.007802,0:00:01.245720,0:00:00.002859
5,0:00:19.297567,0:00:01.273195,0:00:00.006007
3,0:00:20.211005,0:00:01.250277,0:00:00.003691
4,0:00:20.718287,0:00:01.439454,0:00:00.003646
6,0:00:21.298188,0:00:01.577563,0:00:00.003620
11,0:00:11.922683,0:00:01.532177,0:00:00.003648
12,0:00:08.668855,0:00:01.161336,0:00:00.003131
13,0:00:08.991391,0:00:01.257948,0:00:00.002624
14,0:00:08.964674,0:00:01.282012,0:00:00.004175
16,0:00:11.119318,0:00:01.705994,0:00:00.017345
20,0:00:08.833642,0:00:01.373968,0:00:00.003645
21,0:00:09.402685,0:00:01.172474,0:00:00.003108
15,0:00:20.034422,0:00:01.280430,0:00:00.007992
22,0:00:10.014864,0:00:01.195715,0:00:00.003692
17,0:00:20.721306,0:00:02.104915,0:00:00.005807
18,0:00:23.324956,0:00:01.821803,0:00:00.003648
23,0:00:12.593495,0:00:01.778354,0:00:00.005959
19,0:00:21.816264,0:00:01.818348,0:00:00.003659
28,0:00:04.936533,0:00:00.071012,0:00:00.002716
24,0:00:09.358521,0:00:01.060070,0:00:00.002068
27,0:00:09.015706,0:00:00.167084,0:00:00.005621
25,0:00:09.702027,0:00:00.706317,0:00:00.002471
26,0:00:15.624623,0:00:00.677494,0:00:00.008929
