process_no,get_data_from_db,process_data,time_to_write_on_csv
6,0:00:08.926827,0:00:01.468856,0:00:00.004165
2,0:00:09.346434,0:00:01.293988,0:00:00.003815
0,0:00:09.671374,0:00:01.223787,0:00:00.004092
3,0:00:11.704250,0:00:01.394867,0:00:00.003699
1,0:00:19.212956,0:00:01.474903,0:00:00
8,0:00:09.263569,0:00:01.472253,0:00:00.003787
4,0:00:20.305878,0:00:01.554984,0:00:00.004028
9,0:00:09.755080,0:00:01.449588,0:00:00.003381
10,0:00:10.054421,0:00:01.386496,0:00:00.003657
5,0:00:21.715481,0:00:01.555564,0:00:00.003920
7,0:00:21.820795,0:00:01.628556,0:00:00.003859
11,0:00:12.594015,0:00:01.475048,0:00:00.003631
12,0:00:08.704632,0:00:01.371861,0:00:00.003980
13,0:00:09.028722,0:00:01.792547,0:00:00.004674
15,0:00:09.730011,0:00:01.503038,0:00:00.003714
23,0:00:09.423514,0:00:01.366817,0:00:00.002729
24,0:00:09.551286,0:00:01.346381,0:00:00.003098
